id;head_ru_de;transliteration_de;literal_de;meaning_de;equivalents_de;transparency_de;head_ru_eng;transliteration_eng;literal_eng;meaning_eng;equivalents_eng;transparency_eng
386;ПОКАЗАТЬ КОГТИ;pokasatj kogti;Die Krallen zeigen.;"J-m gegenüber deutlich machen, daß man ihm eine Abfuhr erteilen kann; eine drohende Haltung annehmen.";"die Krallen zeigen; die Zähne zeigen";0.5;ПОКАЗАТЬ КОГТИ;pokazat’ kogti;To show one’s claws;"To show hostility, anger, or resentment; to display a threatening attitude";To show one’s teeth;0.5
387;ПОКАЗАТЬ ПЯТКИ;pokasatj pjatki;Die Fersen zeigen.;"Die Flucht ergreifen; davonlaufen; fliehen.";Fersengeld geben;0.0;ПОКАЗАТЬ ПЯТКИ;pokazat’ p’atki;To show one’s heels.;"To run away; to escape.";"To take to one’s heels; to show a clean pair of heels; to take flight.";0.5
388;ПОКАЗЫВАТЬ ТОВАР ЛИЦОМ;pokasywatj towar lizom;Die Ware mit der Vorderseite (Schauseite) zeigen. ;"Etw. von der besten Seite zeigen; etw. in der vorteilhaftesten Weise darstellen.";;0.0;ПОКАЗЫВАТЬ ТОВАР ЛИЦОМ;pokazyvat’ tovar litsom;To show one’s goods from the right side.;"To show a thing its best side; to make the best of something to show something to its full advantage; to display oneself in a favourable light.";;0.0
389;ПОЛНАЯ ЧАША;polnaja tschascha;Ein voller Becher.;"Alles ist im Überfluss vorhanden; j-d führt ein luxuriöses Leben.";;0.0;ПОЛНАЯ ЧАША;polnaya chasha;One lives in plenty, in affluence, in luxury;;;0.0
390;ПОЛОЖА РУКУ НА СЕРДЦЕ;polosha ruku na ßerze;Die Hand aufs Herz legend.;"Aufrichtig sein; die Wahrheit sagen.";Hand aufs Herz;0.5;ПОЛОЖА РУКУ НА СЕРДЦЕ;polozha ruku na sertse;With one’s hand on one’s heart.;To say something quite frankly, candidly, sincerely.;To say something with one’s hand upon one’s heart, open-heartedly;1.0
391;ПОЛОЖИТЬ ЗУБЫ НА ПОЛКУ;poloshitj suby na polku;Die Zähne ins Fach legen.;Not leiden, hungern.;am Hungertuch nagen;0.0;ПОЛОЖИТЬ ЗУБЫ НА ПОЛКУ;polozhit’ zuby na polku;To put one’s teeth on a shelf;"To go hungry; to starve.";To tighten one’s belt;0.0
392;ПОЛОЖИТЬ кого-либо НА ОБЕ ЛОПАТКИ;poloshitj (kowo-libo) na obe lopatki;J-n auf beide Schulterblätter legen.;"J-n im Streit, im Wettkampf besiegen; j-n bezwingen.";j-n auf die Schultern legen;0.5;ПОЛОЖИТЬ кого-либо НА ОБЕ ЛОПАТКИ;polozhit’ na ob’e lopatki;To put someone on both his shoulder-blades.;"To defeat an opponent in an argument, competition, contest, etc.; to beat someone.";;0.0
393;ПОЛОЖИТЬ что-либо ПОД СУКНО;poloshitj (tschto-libo) pod ßukno;Etw. unters Tuch legen. ;Die Entscheidung von etw. hinausschieben.;etw. auf die lange Bank schieben;0.0;ПОЛОЖИТЬ что-либо ПОД СУКНО;polozhit’ pod sukno;To put something under the cloth.;"To delay or postpone consideration of an official paper; to pigeon-hole a request or an application; to shelve a problem or a plan";;0.0
394;ПОПАДАТЬСЯ кому-либо НА ЯЗЫК;popadatza (komu-libo) na jasyk;J-m auf die Zunge geraten.;"Gesprächsthema werden; ins Gerede kommen.";;0.0;ПОПАДАТЬСЯ кому-либо НА ЯЗЫК;popadattsa na yazyk;To land on someone’s tongue;To become the subject of criticism.or gossip.;;0.0
395;ПО ПАЛЬЦАМ МОЖНО СОСЧИТАТЬ;po paljzam moshno ßoßtschitatj;Man kann es an den Fingern zusammenzählen. ;(Es sind) sehr wenige. ;j-n, etw. an den Fingern abzählen;1.0;ПО ПАЛЬЦАМ МОЖНО СОСЧИТАТЬ;po pal’tsam mozhno soshchitat’;They can be counted on one’s fingers.;"Very few; in small quantities.";You can count them on your fingers;1.0
396;ПОПАСТЬ В ПЕРЕПЛЁТ;popaßtj w perepljot;In den Einband geraten.;Sich in einer komplizierten, gefährlichen oder unangenehmen Lage befinden.;in die Klemme geraten;0.5;ПОПАСТЬ В ПЕРЕПЛЁТ;popast’ v per’epl’ot;To get into a binding.;"To get into a difficulty or into trouble; to find oneself in an awkward or dangerous situation.";"To get into a scrape/mess/tight corner; to be in a spot; to be/be caught in a bind";0.5
397;ПОПАСТЬ В ТОЧКУ;popaßtj w totschku;Den Punkt treffen.;Gerade das tun oder sagen, was in einem bestimmten Moment erforderlich ist, was erwartet wird.;"den Nagel auf den Kopf treffen; ins Schwarze treffen";0.5;ПОПАСТЬ В ТОЧКУ;popast’ v tochku;To hit the right point;"To come to the right conclusion; to come at the crux of the matter; to say or do what is exactly right as if by guessing correctly what must be said or done in the circumstances.";"To hit the nail on the head; to hit the bull’s eye/the mark";0.0
398;ПОПАСТЬ КАК КУР ВО ЩИ;popaßtj kak kur wo stschi;Wie der Hahn in die Kohlsuppe geraten.;"In ein unerwartetes Unglück geraten; in eine unangenehme Lage geraten.";in die Klemme geraten;0.0;ПОПАСТЬ КАК КУР ВО ЩИ;popast’ kak kur vo shchi;To get oneself into the shchi*;"To get into trouble; to be caught.";"To get/fall into the soup; to get into hot water";0.0
399;ПОПАСТЬ кому-либо НА ЗУБОК;popaßtj (komu-libo) na subok;J-m aufs Zähnchen geraten.;Zum Gegenstand der Spöttelei, des Geredes, gehässiger Kritik werden.;;0.0;ПОПАСТЬ кому-либо НА ЗУБОК;popast’ na zubok;To find oneself on someone’s little tooth;"To be subjected to biting or sarcastic criticism; to become the butt of ridicule.";To be torn to pieces;0.0
400;ПОПАСТЬ HE В БРОВЬ, А В ГЛАЗ;popaßtj ne w browj, a w glas;Nicht in die Braue sondern ins Auge treffen.;Das Ziel treffen, treffsicher sein (von einem Ausdruck).;den Nagel auf den Kopf treffen, ins Schwarze treffen;0.0;ПОПАСТЬ HE В БРОВЬ, А В ГЛАЗ;popast’ n’e v brov’ a v glaz;To hit not the eyebrow but the eye.;"To guess right; to say something that is exactly right; to give the true explanation.";"To hit the nail on the head; that hit the mark; you’ve said it!";0.0
401;ПОПАСТЬ ПАЛЬЦЕМ В НЕБО;popaßtj paljzem w nebo;Mit dem Finger in den Himmel treffen.;Etw. Unpassendes sagen oder tun.;einen Bock schießen;0.0;ПОПАСТЬ ПАЛЬЦЕМ В НЕБО;popast’ pal’tsem v n’cbo;To hit the sky with one’s finger.;"To say or do something that is far from - being correct or quite out of place; to answer irrelevantly.";"To get/take the wrong sow by the ear; to be wide of /way off the mark";0.0
402;ПОПАСТЬСЯ НА чью-либо УДОЧКУ;popaßtza na (tschju-libo) udotschku;An j-s Angel geraten.;"Sich überlisten, täuschen lassen; hereinfallen.";j-m auf den Leim gehen;0.0;ПОПАСТЬСЯ НА чью-либо УДОЧКУ;popasttsa na lidochku;To be caught on someone’s fishing line.;"To permit oneself to be fooled; to fall for a hoax or trap; to accept a proposal, an offer, etc. made to tempt one to do something.";"To swallow the bait: to rise to the fly; to be taken in; to fall into someone’s trap/snare";0.0
403;ПОРОХУ НЕ ВЫДУМАЕТ;porochu ne wydumajet;Er wird das Pulver nicht erfinden.;"Er ist reichlich dumm; mit ihm ist es nicht weit her.";er hat das Pulver nicht erfunden;1.0;ПОРОХУ НЕ ВЫДУМАЕТ;porokhu n’e vydumayet;He will not invent gunpowder.;He will never do anything remarkable or outstanding (usually said of a dull-witted, not very bright person).;He will never set the Thames/world on fire;0.0
404;ПОРОХУ HE ХВАТАЕТ;porochu ne chwatajet;Das Pulver reicht nicht.;Es fehlt an Kraft, Willen und Ausdauer zur Erreichung eines Zieles.;j-m geht die Puste aus;0.0;ПОРОХУ HE ХВАТАЕТ;porokhu n’e khvatayet;Not enough gunpowder.;One lacks energy, strength or resolution to do something.;"It’s beyond him; he has not it in him; he is not up to it";0.0
405;ПОСАДИТЬ кого-либо В ГАЛОШУ;poßaditj (kowo-libo) w galoschu;J-n in die Galosche stecken.;J-n in eine lächerliche, peinliche Lage bringen.;;0.0;ПОСАДИТЬ кого-либо В ГАЛОШУ;posadit’ v galoshu;To put someone into a galosh;"Put someone into an embarrassing or uncomfortable situation; to be made fun of; to get someone into a fix; to be in an awkward predicament.";;0.0
406;ПОСЛЕДНИЙ КРИК МОДЫ;poßlednij krik mody;Der letzte Schrei der Mode.;Eine modische Neuheit.;der letzte Schrei;0.5;ПОСЛЕДНИЙ КРИК МОДЫ;posl’edny krik mody;The latest cry of fashion.;"The latest fashion; the latest craze.";The last word in fashion.;0.5
407;ПОСЛЕДНЯЯ КАПЛЯ;poßlednjaja kaplja;Der letzte Tropfen.;Das abschließende Ereignis, durch das die Gesamtumstände unerträglich werden.;;0.0;ПОСЛЕДНЯЯ КАПЛЯ;posl’edn’aya kapl’a;The last drop.;The final circumstance of a series that makes a situation unbearable.;The last straw.;0.5
408;ПОСЛЕДНЯЯ СПИЦА В КОЛЕСНИЦЕ;poßlednjaja ßpiza w koleßnize;Die letzte Speiche am Wagen.;Ein unbedeutender Mensch, ein Niemand.;;0.0;ПОСЛЕДНЯЯ СПИЦА В КОЛЕСНИЦЕ;posl’edn’aya spitsa v kol’esnitse ;The last spoke in the chariot. ;"A person of very little importance; one who doesn’t count; a minor figure.";A mere cog in the machine.;0.0
409;ПОСЛЕ ДОЖДИЧКА В ЧЕТВЕРГ;poßle doshditschka w tschetwerg;Am Donnerstag nach dem Regen.;Unbekannt wann.;;0.0;ПОСЛЕ ДОЖДИЧКА В ЧЕТВЕРГ;posl’e dozhdichka v chetv’erg;After a little rain on a Thursday.;No one knows when.;"When pigs fly; when two Fridays come together";0.0
410;ПОСТАВИТЬ ВОПРОС РЕБРОМ;poßtawitj woproß rebrom;Die Frage mit der Kante stellen.;"Eine Frage entschieden, kategorisch stellen; direkt fragen; eine Frage scharf formulieren.";;0.0;ПОСТАВИТЬ ВОПРОС РЕБРОМ;postavit’ vopros r’ebrom;To put a question edgewise.;"To announce or state something categorically; to say something in a manner that leaves no room for doubt; to ask something directly, openly; to put a question point-blank.";Not to mince words.;0.0
411;ПОСТАВИТЬ ВСЁ НА КАРТУ;poßtawitj wßjo na kartu;Alles auf die Karte setzen.;Ein Risiko, eine Gefahr auf sich nehmen, in der Hoffnung, dadurch etw. Bestimmtes zu erreichen.;alles auf eine Karte setzen;1.0;ПОСТАВИТЬ ВСЁ НА КАРТУ;postavit’ vs’o na kartu;To put everything on the card.;"To risk all that one has on a single venture, method, etc.; to stake all one’s hopes on one source or means.";To put all one’s eggs in one basket;0.0
412;ПОСТАВИТЬ кого-либо В ТУПИК;poßtawitj (kowo-libo) w tupik;J-n in eine Sackgasse stellen.;"J-n in Verlegenheit bringen; bei j-m Verwirrung auslösen.";j-n in die Enge treiben;0.0;ПОСТАВИТЬ кого-либо В ТУПИК;postavit’ v tupik;To put someone in a blind alley.;"To bewilder, to puzzle, to nonplus someone; to throw someone into confusion.";;0.0
413;ПОСТАВИТЬ КРЕСТ на ком-либо/чём-либо;poßtawitj kreßt (na kom-libo / tschom-libo);Auf j-n / etw. ein Kreuz setzen.;"Den Glauben an j-n / etw. verlieren; sich endgültig von j-m / etw. abwenden; die Hoffnung aufgeben.";;0.0;ПОСТАВИТЬ КРЕСТ на ком-либо/чём-либо;postavit’ kr’est;To put a cross on someone/something;"To lose faith in someone or something; to stop thinking of someone or something; to give someone up for lost; to give something up as a hopeless case.";To kiss something good-bye;0.0
414;ПОСТАВИТЬ кого-либо НА СВОЁ МЕСТО;poßtawitj (kowo-libo) na ßwojo meßto;J-n an seinen Platz stellen.;"J-m deutlich machen, wer er wirklich ist; j-n zurechtweisen.";j-n in die Schranken weisen;0.0;ПОСТАВИТЬ кого-либо НА СВОЁ МЕСТО;postavit’ na svoyo m’esto;To put someone in his place;"To snub a person who is overstepping his bounds; to check someone’s presumption";To put someone in his place. To rest on one’s laurels;1.0
415;ПОЧИВАТЬ НА ЛАВРАХ;potschiwatj na lawrach;Sich auf den Lorbeeren ausruhen.;Sich mit dem Erreichten zufriedengeben.;sich auf seinen Lorbeeren ausruhen;1.0;ПОЧИВАТЬ НА ЛАВРАХ;pochivat’ na lavrakh;To sleep on one’s laurels;To be satisfied with what one has already achieved or accomplished without striving for more.;To rest on one’s laurels;0.5
416;ПРИБИРАТЬ К РУКАМ;pribiratj k rukam;In die Hände nehmen.;"Etw. an sich reißen; sich etw. aneignen.";"die Hand auf etw. legen; sich etw. unter den Nagel reißen";0.5;ПРИБИРАТЬ К РУКАМ;pribirat’ k rukam;To take something in one’s hands;To appropriate, to seize, to take possession of.;To lay one’s hands on something;1.0
417;ПРИВЕСТИ кого-либо В СЕБЯ;priweßti (kowo-libo) w ßebja;J-n zu sich führen.;"J-n von einer Ohnmacht befreien; j-n zur Besinnung bringen.";;0.0;ПРИВЕСТИ кого-либо В СЕБЯ;priv’esti v seb’a;To bring someone into oneself.;"To cause someone to regain consciousness; to revive someone.";To bring someone round/to;0.5
418;ПРИЛОЖИТЬ РУКУ к чему-либо;priloshitj ruku (k tschemu-libo);Seine Hand zu etw. legen.;Sich an etw. (meist Ungebührlichem) beteiligen.;die Hand bei etw. im Spiel haben;0.5;ПРИЛОЖИТЬ РУКУ к чему-либо;prilozhit’ ruku;To put one’s hand on something;To be actively involved in something (usually reprehensible, blameworthy).;"To have/take a hand in something; to have a finger in the pie.";0.0
419;ПРИНИМАТЬ ЗА ЧИСТУЮ МОНЕТУ;prinimatj sa tschißtuju monetu;Für reine Münze nehmen.;"Etw. als Wahrheit ansehen; etw. ernst nehmen.";etw. für bare Münze nehmen;0.5;ПРИНИМАТЬ ЗА ЧИСТУЮ МОНЕТУ;prinimat’ za chistuyu mon’etu;To take for a pure coin.;"To regard something as true; to take something seriously.";"To take in good faith; to take at face value";0.0
420;ПРИПИРАТЬ кого-либо К СТЕНКЕ;pripiratj (kowo-libo) k ßtenke;J-n an die Wand drücken.;J-n in eine ausweglose Lage bringen, j-n zwingen etw. zu machen oder zu gestehen.;j-n in die Enge treiben;0.0;ПРИПИРАТЬ кого-либо К СТЕНКЕ;pripirat’ k st’enk’e;To press someone against the wall.;"To put someone in a difficult or embarrassing position, forcing him to do or admit something; to put someone in desperate straits.";"To drive/push someone to the wall; to drive someone into a corner; to pin someone down";0.5
421;ПРИТЯНУТЬ что-либо ЗА УШИ;pritjanutj (tschto-libo) sa uschi;Etw. an den Ohren heranziehen.;Etw. ohne ausreichenden Grund, ungerechtfertigt anführen.;etw. an den Haaren herbeiziehen;0.5;ПРИТЯНУТЬ что-либо ЗА УШИ;prit’anut’ za ushi;To pull something up by the ears.;"To make use of something without adequate grounds; to advance farfetched arguments.";To drag something in.;0.0
422;ПРОБНЫЙ ШАР;probnyj schar;Versuchsballon.;Verfahren zur Klärung eines Sachverhaltes.;ein Versuchsballon;1.0;ПРОБНЫЙ ШАР;probny shar;A trial ball.;An approach or device (usually by making discreet inquiries) used to clarify a situation or test the opinions or feelings of others.;"A trial balloon; a feeler";1.0
423;ПРОВАЛИТЬСЯ С ТРЕСКОМ;prowalitza ß treßkom;Mit großem Krach durchfallen.;Einen schmachvollen Mißerfolg erleiden.;mit Pauken und Trompeten durchfallen;0.5;ПРОВАЛИТЬСЯ С ТРЕСКОМ;provalittsa s tr’eskom;To collapse with a bang;"To flop; to be a complete and ignominious failure.";"To come a cropper/crasher; to fall flat on one’s face.";0.0
424;ПРОГЛОТИТЬ ПИЛЮЛЮ;proglotitj piljulju;Die Pille schlucken.;Schweigend eine Kränkung hinnehmen.;die bittere Pille schlucken;0.5;ПРОГЛОТИТЬ ПИЛЮЛЮ;proglotit’ pil’ul’u;To swallow the pill.;"To disregard an insult; to endure an offence patiently, without resistance or complaint.";To swallow a bitter pill.;0.5
425;ПРОГЛОТИТЬ ЯЗЫК;proglotitj jasyk;Die Zunge verschlucken.;Schweigen, nicht sprechen, nicht antworten.;;0.0;ПРОГЛОТИТЬ ЯЗЫК;proglotit’ yazyk;To swallow one’s tongue.;"To fall silent; to stop talking.";To lose one’s tongue.;0.5
426;ПРОЖУЖЖАТЬ ВСЕ УШИ;proshushshatj wße uschi;J-m in die Ohren vollsummen.;J-n durch beständiges Reden über ein und dasselbe langweilen.;j-m die Ohren vollreden;0.5;ПРОЖУЖЖАТЬ ВСЕ УШИ;prozhuzhzhat’ vs’e lishi;To buzz someone’s ears through.;"To bore someone by telling him some- thing over and over again; to keep dinging something into someone’s ears.";"To talk someone’s ears off about something; to drone on at someone; to go rabbiting on";0.0
427;ПРОЙТИ КРАСНОЙ НИТЬЮ;projti kraßnoj nitju;Als roter Faden durchlaufen.;Das Wesentliche, der Leitgedanke von etw. sein.;sich wie ein roter Faden durch etw. ziehen;0.5;ПРОЙТИ КРАСНОЙ НИТЬЮ;proyti krasnoy nit’yu;To run through something with a red thread;"To be the basic idea, the key-note, the essence of something; to run through something (e. g. a book or a speech)";;0.0
428;ПРОЙТИ СКВОЗЬ ОГОНЬ И ВОДУ;projti ßkwosj ogonj i wodu;Durch Feuer und Wasser gehen.;Viel im Leben ertragen, schwierige Situationen durchleben.;"mit allen Wassern gewaschen sein; mit allen Hunden gehetzt sein";0.0;ПРОЙТИ СКВОЗЬ ОГОНЬ И ВОДУ;proyti skvoz’ ogon’ i vodu ;To go through fire and water;"To go through a great deal in life; to encounter or face | the greatest dangers or hardest experiences; to endure perils of all kinds";"To go through fire and water; to go through the mill";1.0
